Operation_Cost,Carbon_Emissions
3803612.7495926255,5667.743241190506
3814309.109737819,5557.795854827598
3879821.90356898,5397.152786576693
3892200.9413890406,5366.416510163433
3899634.267386905,5357.506463619224
3939807.0489912666,5261.694494465832
3961358.808889025,5232.549648466851
4019301.1293542674,5232.353558639039
4021527.232703003,5107.417111143237
4028442.3796759127,5096.755689330852
4096110.3443530374,5007.983531542292
4104121.888635566,4869.446824553709
4136158.9334952105,4823.9843922402715
4169639.4047217392,4823.925821892347
4188346.4064150974,4819.080262051698
4189435.6129548713,4793.657410771303
4191496.756087694,4775.439855741711
4201600.07502907,4752.124116226132
4214864.165839846,4742.2164043725315
4235957.865820625,4684.200947704629
4257450.109008355,4648.247384411974
4259145.762343573,4578.994735702586
4271937.066595486,4496.053431074158
4314911.617248094,4495.425283327528
4372512.248574157,4364.338993840663
4404430.511514422,4303.318689904285
4423159.268812758,4256.934472309209
4434179.216411656,4242.670286818851
4458852.730162477,4180.704808136255
4472148.748754764,4142.957622155931
4475831.645434886,4139.095289064524
4500941.964521832,4105.901623105188
4520056.703180154,4084.607142006014
4533422.627418777,4081.3224384468817
4548340.627107587,4047.2337684040513
4566174.36092086,3977.0111595295057
4585533.5787284095,3926.275946536831
4627501.530170239,3768.923905268927
4691401.008455639,3767.7702471608563
4701456.514323079,3630.3846127583083
4706754.836863058,3607.6114851737207
4710345.540384541,3603.8375164988365
4760126.640608602,3536.3670635799263
4793844.9471494425,3445.1534810668436
4867060.517110059,3390.316183414026
4897756.91208537,3280.1397925016736
4913547.2624866795,3202.995706430557
4966993.35942715,3116.615890033531
4985672.944240397,3061.1013742425716
5007952.707234967,3014.2735530713526
5111344.481414204,2903.9926922659224
5138910.54629647,2855.928573717152
5158615.270654904,2744.6702734748133
5232966.154699713,2599.4014208774333
5291397.410862612,2559.2614022304942
5303185.409986747,2557.705217175462
5325976.942199267,2536.3644399027744
5328391.046055823,2510.555118885245
5330074.197407257,2499.4622211710393
5360793.106090834,2466.845773929243
5365379.740490984,2387.832397100694
5439817.045897866,2304.664276907892
5478388.7941180905,2245.4210031350117
5487320.096223464,2186.8385452547654
5511396.905817407,2145.692576224399
5519572.354733892,2121.368656399347
5542856.713513444,2080.4390101899226
5548749.3229882885,2071.1735228489697
5550182.129778247,2070.7555211641948
5580534.486549673,2022.6292234312898
5597842.291894571,1990.9860827574344
5602872.924349196,1990.9425362792094
5613375.692295705,1922.3836002103694
5659966.329620954,1868.7262068113753
5661118.008773021,1831.6634156604905
5703607.304424252,1812.0002569645303
5711690.420769834,1787.809809489676
5745950.951284915,1708.5002285890369
5751418.652800473,1697.4018922876298
5752047.093654696,1684.9465446954944
5755933.699105527,1587.4287035402208
5758035.059606634,1534.968580855973
5860911.607296026,1466.9324903082647
5882392.594353853,1466.3343094961333
5887507.139536136,1464.9051703436655
5908223.955086466,1353.6300052653432
5929657.145640973,1339.6096897837483
5930242.956615635,1320.5447169631377
5947583.648904547,1298.4915444398284
5991253.700097496,1198.8391790940152
6012875.699614234,1157.4476474030544
6020822.167170231,1156.6448542823523
6038071.600946455,1115.3823595985602
