发电成本,开关成本,充放电成本,弃能源成本,碳捕捉成本,碳交易成本,碳封存成本,总成本,碳排放
2452882.6387104765,30,18000.0,545501.3403884221,291499.1367649219,652761.8162038152,1079626.4324626736,5040301.364530309,4319.8781790993935
2440611.0554734226,30,19000.0,613670.6693691022,376224.6029334774,647395.2705819663,1393424.4553091754,5490356.053667145,3477.6783303503544
2449524.109848152,30,17000.0,571685.2163683582,379004.586149745,651292.9810979111,1403720.6894435,5472257.582907666,3493.848610777391
2438363.904800362,30,20000.0,581345.5030036609,328072.495860616,646417.7125512972,1215083.3180022815,5229312.934218218,3913.0197969437277
2455670.9722537324,30,19000.0,657136.8950489333,563473.2854202129,653987.0150695585,2086938.094148937,6436236.261941373,1814.773206235813
2450679.0794100296,30,19000.0,556328.4398725607,348794.49417349766,651797.5246814811,1291831.459901843,5318460.998039411,3778.996884454866
2445817.748892569,30,16000.0,570344.5113903199,364506.53860202245,649666.9649333162,1350024.2170445276,5396389.980862755,3610.605746994231
2451642.222195478,30,15000.0,558684.3920259168,591838.5014623496,652229.887218774,2191994.4498605537,6461419.452763073,1533.2384690988727
2441112.95623101,30,16000.0,535700.4918915854,481455.86170404335,647620.7890882177,1783169.8581631233,5905089.957077979,2505.7397533902304
2453506.664256937,30,17000.0,581120.8231891907,238118.44058261425,653036.4695698316,881920.1503059787,4824732.547904552,4817.097146491307
2436193.567559673,30,19000.0,605810.2512517553,526079.0546144419,645468.104610336,1948440.9430164513,6181021.921052657,2069.4148963334505
2443748.328679127,30,17000.0,579305.7044651976,271095.65294680017,648771.3971125631,1004057.9738770375,4964009.057080726,4465.891593399484
2450730.0706756683,30,17000.0,548456.7217297633,369292.4092409657,651820.7545090739,1367749.6638554288,5405079.6200109,3589.451157663298
2439652.328631241,30,17000.0,571328.1953266873,458070.92994665256,646970.6110307004,1696558.999802417,5829611.064737698,2715.275737383208
2440482.1195961116,30,17000.0,564303.4945342499,535360.2713472522,647343.7576564288,1982815.819804638,6187335.46293868,2003.6460166865663
2444316.5338323843,30,19000.0,560954.6399975973,285902.11671333335,649010.5327746712,1058896.728567901,5018110.551885887,4331.366057877788
2443779.9985999307,30,18000.0,575425.1577074362,417578.02257425664,648772.1166977438,1546585.268793543,5650170.56437291,3109.5810935832797
2448846.469004683,30,19000.0,567986.0201134464,219572.89750381105,650996.6468098135,813232.9537178187,4719664.987149573,4966.881559896996
